"","Mz","total"
"989","120101000101700051E",243
"990","120101000101700051F",31
"991","120101000101700051G",156
"992","120101000101700051H",249
"993","120101000101700055A",51
"994","120101000101700055B",196
"995","1201010001017008888",188
"996","120101000101800001A",80
"997","120101000101800001B",41
"998","120101000101800003 ",42
"999","120101000101800003B",42
"1000","120101000101800003D",60
"1001","120101000101800004C",62
"1002","120101000101800007 ",58
"1003","120101000101800008A",121
"1004","120101000101800010A",206
"1005","120101000101800011A",152
"1006","120101000101800013J",177
"1007","120101000101800013K",56
"1008","120101000101800014D",160
"1009","120101000101800014E",51
"1010","120101000101800014F",102
"1011","120101000101800019 ",45
"1012","120101000101800022A",81
"1013","120101000101800022B",34
"1014","120101000101800023D",38
"1015","120101000101800023F",109
"1016","120101000101800024B",65
"1017","120101000101800025B",39
"1018","120101000101800025C",64
"1019","120101000101800025D",52
"1020","120101000101800025H",36
"1021","120101000101800025I",40
"1022","120101000101800025J",60
"1023","120101000101800025K",53
"1024","120101000101800025L",80
