"","cod_manzana","departamento","provincia","distrito","centro_poblado","manzana","automovil","motocicleta","hombre","mujer","De 0  a 4 años","De 5  a 9 años","De 10 a 14 años","De 15 a 19 años","De 20 a 24 años","De 25 a 29 años","De 30 a 34 años","De 35 a 39 años","De 40 a 44 años","De 45 a 49 años","De 50 a 54 años","De 55 a 59 años","De 60 a 64 años","De 65 a 69 años","De 70 a 74 años","De 75 a 79 años","De 80 a 84 años","De 85 a 89 años","De 90 a 94 años","De 95 a más","total"
"44","120101000100100036A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 036A",7,0,36,35,5,3,5,13,10,5,3,3,7,3,9,2,0,1,1,0,1,0,0,0,71
"45","120101000100100037A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 037A",22,5,104,119,20,15,24,20,27,21,14,13,19,11,14,11,2,5,1,2,0,4,0,0,223
"46","120101000100100040 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 040",6,0,62,71,11,6,10,14,16,7,8,9,9,8,3,12,9,4,1,2,3,1,0,0,133
"47","120101000100100041 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 041",12,0,60,58,4,3,8,12,6,6,9,10,10,9,11,10,5,1,2,5,4,3,0,0,118
"48","120101000100100042 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 042",5,1,44,44,5,6,4,7,19,10,10,3,1,4,4,4,8,3,0,0,0,0,0,0,88
"49","120101000100100044 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 044",3,3,55,57,5,6,4,16,20,9,11,8,3,8,6,3,5,2,0,6,0,0,0,0,112
"50","120101000100100045A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 045A",8,0,38,52,5,7,6,7,12,8,11,5,4,1,3,5,2,5,3,1,3,2,0,0,90
"51","120101000100100047A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 047A",6,1,24,38,4,6,3,5,8,6,3,5,4,1,2,8,3,2,1,0,1,0,0,0,62
"52","120101000100100048A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 048A",4,0,29,29,4,4,1,4,6,2,3,8,3,1,0,2,5,3,7,3,1,1,0,0,58
"53","120101000100100049A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 049A",2,0,31,31,5,4,3,5,5,10,10,4,2,0,0,7,0,2,2,3,0,0,0,0,62
"54","120101000100100050 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 050",3,0,16,20,4,4,1,4,3,4,3,4,2,2,2,0,3,0,0,0,0,0,0,0,36
"55","120101000100100051 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 051",4,1,21,28,1,4,4,3,4,2,3,6,5,1,5,2,7,0,1,1,0,0,0,0,49
"56","120101000100100053 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 053",2,0,16,17,2,0,3,2,2,1,2,4,5,2,2,2,1,4,0,1,0,0,0,0,33
"57","120101000100100054 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 054",3,0,21,20,2,4,1,3,4,1,6,5,3,1,5,0,4,0,0,1,1,0,0,0,41
"58","120101000100100055A"," Junin","Huancayo","Huancayo","Huancayo","Mza: 055A",4,1,28,23,5,3,4,2,5,4,6,3,2,3,4,2,4,3,1,0,0,0,0,0,51
"59","120101000100100057 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 057",8,2,32,48,8,2,5,12,5,7,2,5,5,7,6,3,2,3,2,1,4,1,0,0,80
"60","1201010001001008888"," Junin","Huancayo","Huancayo","Huancayo","Mza: 8888",7,0,60,67,10,7,7,12,13,15,9,5,9,9,10,3,5,6,0,6,0,1,0,0,127
"61","120101000100200001 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 001",2,0,23,24,3,2,4,2,6,1,4,5,4,4,0,0,3,3,1,3,0,0,0,2,47
"62","120101000100200002B"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002B",2,1,16,22,2,1,3,3,3,3,5,2,4,4,4,1,1,0,2,0,0,0,0,0,38
"63","120101000100200002D"," Junin","Huancayo","Huancayo","Huancayo","Mza: 002D",7,2,38,45,6,7,1,2,6,8,6,7,3,6,9,6,2,1,5,1,3,3,0,1,83
"64","120101000100200004 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 004",27,7,92,100,11,16,14,10,16,20,17,11,9,14,11,10,9,10,4,5,1,4,0,0,192
"65","120101000100200005 "," Junin","Huancayo","Huancayo","Huancayo","Mza: 005",12,4,52,59,3,9,8,8,9,10,8,6,8,5,9,8,5,4,5,2,2,2,0,0,111
